-		y	0x00181528	double [1025]
		[0]	5.7313123524769480	double
		[1]	-6.2085635986838543	double
		[2]	5.0560969102299689	double
		[3]	7.7370130779043942	double
		[4]	8.0392652174442105	double
		[5]	7.6334262265331629	double
		[6]	6.5728791026922071	double
		[7]	6.6783075639216367	double
		[8]	8.0325659646487377	double
		[9]	8.7045985121682818	double
		[10]	8.5182642361373784	double
		[11]	7.3267785589726406	double
		[12]	5.3799151856937000	double
		[13]	4.4616050677801358	double
		[14]	4.9765401611546327	double
		[15]	6.8606678601731748	double
		[16]	8.0767541997495975	double
		[17]	8.3672668735684379	double
		[18]	8.5680149794374199	double
		[19]	8.3689635282872299	double
		[20]	7.9590870972872167	double
		[21]	7.5746078862833199	double
		[22]	6.0794549534710738	double
		[23]	5.9990261092670831	double
		[24]	7.3335178360249653	double
		[25]	7.9925895648828602	double
		[26]	8.0136759146562788	double
		[27]	7.2757698214693391	double
		[28]	6.8592726382185001	double
		[29]	6.3916846687847126	double
		[30]	7.5607663663607134	double
		[31]	10.212772105652309	double
		[32]	12.001816420223602	double
		[33]	13.001573525501710	double
		[34]	13.553604328030847	double
		[35]	13.397123285190231	double
		[36]	13.329027202504216	double
		[37]	13.349796776103345	double
		[38]	13.329783193953082	double
		[39]	13.486932964478093	double
		[40]	13.341865471515952	double
		[41]	13.974437674400175	double
		[42]	15.488134622700718	double
		[43]	16.142205585336406	double
		[44]	16.284944462809271	double
		[45]	15.445052865784811	double
		[46]	14.335461820136505	double
		[47]	13.860127610628755	double
		[48]	14.803405990312369	double
		[49]	16.247755823049388	double
		[50]	18.073544559521743	double
		[51]	20.611124635773340	double
		[52]	21.625373261077453	double
		[53]	21.660669050238294	double
		[54]	21.690931777214381	double
		[55]	22.209195532432318	double
		[56]	23.324775827910816	double
		[57]	24.160715334780505	double
		[58]	24.555690956499365	double
		[59]	24.987292684351029	double
		[60]	25.642132092914217	double
		[61]	26.332885426739661	double
		[62]	26.876870006237787	double
		[63]	27.376022583442349	double
		[64]	27.650532426361085	double
		[65]	27.789253610629675	double
		[66]	27.615023957698057	double
		[67]	27.183439429181799	double
		[68]	26.447996030524287	double
		[69]	25.260895214338305	double
		[70]	23.124949154363506	double
		[71]	21.124802391494143	double
		[72]	20.453770033701279	double
		[73]	22.429741309454748	double
		[74]	24.016619457963813	double
		[75]	25.144323118936743	double
		[76]	25.993205329857627	double
		[77]	24.789176717722995	double
		[78]	23.957356302350696	double
		[79]	23.927706146671891	double
		[80]	25.439222243032511	double
		[81]	25.879503996365010	double
		[82]	25.694534410896253	double
		[83]	24.748022241923909	double
		[84]	22.723823108264689	double
		[85]	19.898257955172721	double
		[86]	18.895036024007904	double
		[87]	21.903285150408468	double
		[88]	24.724280903487106	double
		[89]	26.317046486158254	double
		[90]	27.425722553826738	double
		[91]	27.528939976133220	double
		[92]	27.011282559061204	double
		[93]	26.717972334747301	double
		[94]	26.529921741373414	double
		[95]	26.748590294145117	double
		[96]	26.943220490739712	double
		[97]	26.921322870921824	double
		[98]	26.880370316083955	double
		[99]	26.806844937357649	double
		[100]	26.918329184845216	double
		[101]	27.300774820774304	double
		[102]	26.748951480088415	double
		[103]	27.844416435362081	double
		[104]	28.171162213213407	double
		[105]	28.403838276334319	double
		[106]	28.831819107197191	double
		[107]	29.427654806886032	double
		[108]	30.022908801093365	double
		[109]	29.037860427574703	double
		[110]	27.820644374315989	double
		[111]	25.943061936821326	double
		[112]	24.228897535201142	double
		[113]	22.409701292206847	double
		[114]	21.334676456236927	double
		[115]	22.573305449305401	double
		[116]	24.149106239568670	double
		[117]	25.544013994408058	double
		[118]	26.984691847513417	double
		[119]	27.743187746949864	double
		[120]	27.380372952389894	double
		[121]	27.565165305733625	double
		[122]	30.390019100109143	double
		[123]	30.390019100109143	double
		[124]	30.390019100109143	double
		[125]	29.658642238477668	double
		[126]	28.778647285318183	double
		[127]	27.673822491278731	double
		[128]	28.566561661607736	double
		[129]	29.041359604063594	double
		[130]	29.938895965604353	double
		[131]	28.650028386093744	double
		[132]	29.127190208031063	double
		[133]	29.163836866084107	double
		[134]	29.399608836317647	double
		[135]	29.532051784452058	double
		[136]	29.629290300764183	double
		[137]	29.765954905897559	double
		[138]	29.727990128025517	double
		[139]	29.644952194253037	double
		[140]	29.435543681926465	double
		[141]	29.139293102293060	double
		[142]	28.499511576261433	double
		[143]	27.397498757864721	double
		[144]	29.565317406447789	double
		[145]	30.420424361082933	double
		[146]	30.420424361082933	double
		[147]	30.082368267893767	double
		[148]	29.678257276258925	double
		[149]	29.237994064606333	double
		[150]	28.841082751180501	double
		[151]	28.506661306963366	double
		[152]	28.628645186779636	double
		[153]	28.833523347036234	double
		[154]	29.242939508620825	double
		[155]	29.538519046899697	double
		[156]	29.671504644470311	double
		[157]	29.856611890711505	double
		[158]	29.866290572873602	double
		[159]	30.106208738271654	double
		[160]	29.049459241465158	double
		[161]	28.036844334231887	double
		[162]	26.915885735458119	double
		[163]	25.356639160324690	double
		[164]	24.015847687276338	double
		[165]	21.921589746100540	double
		[166]	20.865702017996469	double
		[167]	19.361998799443963	double
		[168]	16.610114506081914	double
		[169]	14.571731651826061	double
		[170]	15.054781426108033	double
		[171]	16.554977184463645	double
		[172]	18.435399044439105	double
		[173]	20.364090123908134	double
		[174]	21.971942319714223	double
		[175]	27.139338657925226	double
		[176]	29.088138878838773	double
		[177]	30.521940696054280	double
		[178]	29.966403274835262	double
		[179]	29.295026981664666	double
		[180]	28.582238150340402	double
		[181]	28.084093433395239	double
		[182]	27.863824703073089	double
		[183]	27.797894410552107	double
		[184]	27.774871017262925	double
		[185]	27.364949457517270	double
		[186]	26.191674767686379	double
		[187]	31.631937892576367	double
		[188]	33.212592076343874	double
		[189]	35.061839348576392	double
		[190]	34.389816912234551	double
		[191]	33.574175656193802	double
		[192]	32.554494577126086	double
		[193]	31.226216633530470	double
		[194]	31.226216633530470	double
		[195]	32.479896681895518	double
		[196]	34.096630735268228	double
		[197]	33.442919982777497	double
		[198]	32.721256028908215	double
		[199]	31.867706220318755	double
		[200]	32.474127884285323	double
		[201]	32.609155590810317	double
		[202]	33.078326122526299	double
		[203]	32.676642371368771	double
		[204]	32.233984535132635	double
		[205]	32.481056357817771	double
