-		ptainfo->psd	0x1c16a1d8	float [2049]
		[0]	0.34220946	float
		[1]	0.61743015	float
		[2]	0.97327644	float
		[3]	1.0228066	float
		[4]	1.0735661	float
		[5]	0.54716265	float
		[6]	0.19649588	float
		[7]	0.38881204	float
		[8]	0.64612228	float
		[9]	0.36596027	float
		[10]	0.16489746	float
		[11]	0.020061649	float
		[12]	0.47520891	float
		[13]	0.96358359	float
		[14]	1.6228005	float
		[15]	2.5946727	float
		[16]	3.7935574	float
		[17]	4.6238070	float
		[18]	5.5361485	float
		[19]	7.0145712	float
		[20]	8.6677532	float
		[21]	15.330766	float
		[22]	23.880810	float
		[23]	31.669426	float
		[24]	40.555492	float
		[25]	43.120663	float
		[26]	45.764492	float
		[27]	42.107635	float
		[28]	38.603027	float
		[29]	30.579891	float
		[30]	23.490347	float
		[31]	17.381186	float
		[32]	12.190332	float
		[33]	12.891601	float
		[34]	13.612480	float
		[35]	25.286461	float
		[36]	40.546577	float
		[37]	54.685135	float
		[38]	70.934464	float
		[39]	81.929543	float
		[40]	93.716499	float
		[41]	100.96488	float
		[42]	108.48323	float
		[43]	103.61153	float
		[44]	98.851738	float
		[45]	86.165512	float
		[46]	74.350166	float
		[47]	59.022335	float
		[48]	45.461903	float
		[49]	30.319370	float
		[50]	18.233421	float
		[51]	13.691861	float
		[52]	9.7996674	float
		[53]	14.758817	float
		[54]	20.729801	float
		[55]	31.921543	float
		[56]	45.519737	float
		[57]	56.058384	float
		[58]	67.693367	float
		[59]	72.562637	float
		[60]	77.601013	float
		[61]	73.643288	float
		[62]	69.789139	float
		[63]	57.793427	float
		[64]	46.928093	float
		[65]	41.214703	float
		[66]	35.872040	float
		[67]	38.985771	float
		[68]	42.229073	float
		[69]	47.046520	float
		[70]	52.124115	float
		[71]	55.871216	float
		[72]	59.748363	float
		[73]	64.286346	float
		[74]	68.990410	float
		[75]	89.677826	float
		[76]	113.07407	float
		[77]	141.06323	float
		[78]	172.14438	float
		[79]	184.25108	float
		[80]	196.76918	float
		[81]	197.27916	float
		[82]	197.78981	float
		[83]	182.72110	float
		[84]	168.24937	float
		[85]	150.85040	float
		[86]	134.40082	float
		[87]	139.31508	float
		[88]	144.31757	float
		[89]	154.90213	float
		[90]	165.86124	float
		[91]	170.00963	float
		[92]	174.20926	float
		[93]	182.27162	float
		[94]	190.51636	float
		[95]	202.64043	float
		[96]	215.13846	float
		[97]	220.96301	float
		[98]	226.86534	float
		[99]	236.51982	float
		[100]	246.37546	float
		[101]	256.15564	float
		[102]	266.12616	float
		[103]	269.98526	float
		[104]	273.87213	float
		[105]	272.65363	float
		[106]	271.43784	float
		[107]	260.90018	float
		[108]	250.57112	float
		[109]	235.73441	float
		[110]	221.35045	float
		[111]	217.15059	float
		[112]	212.99095	float
		[113]	212.55017	float
		[114]	212.10986	float
		[115]	213.82114	float
		[116]	215.53928	float
		[117]	220.59976	float
		[118]	225.71896	float
		[119]	245.73137	float
		[120]	266.59363	float
		[121]	274.96411	float
		[122]	283.46396	float
		[123]	290.94373	float
		[124]	298.52087	float
		[125]	295.21777	float
		[126]	291.93304	float
		[127]	286.47360	float
		[128]	281.06564	float
		[129]	269.50064	float
		[130]	258.17856	float
		[131]	238.49028	float
		[132]	219.58276	float
		[133]	209.35350	float
		[134]	199.36823	float
		[135]	204.95184	float
		[136]	210.61258	float
		[137]	216.00476	float
		[138]	221.46510	float
		[139]	219.79251	float
		[140]	218.12627	float
		[141]	216.00676	float
		[142]	213.89760	float
		[143]	234.42632	float
		[144]	255.89552	float
		[145]	269.58179	float
		[146]	283.62454	float
		[147]	290.46515	float
		[148]	297.38727	float
		[149]	296.84079	float
		[150]	296.29480	float
		[151]	312.62189	float
		[152]	329.38684	float
		[153]	365.77731	float
		[154]	404.07407	float
		[155]	443.30524	float
		[156]	484.35370	float
		[157]	480.76361	float
		[158]	477.18686	float
		[159]	480.29565	float
		[160]	483.41455	float
		[161]	480.53079	float
		[162]	477.65564	float
		[163]	445.07166	float
		[164]	413.63864	float
		[165]	395.23550	float
		[166]	377.25110	float
		[167]	356.36829	float
		[168]	336.08005	float
		[169]	334.49417	float
		[170]	332.91205	float
		[171]	333.23691	float
		[172]	333.56192	float
		[173]	332.94284	float
		[174]	332.32434	float
		[175]	333.51636	float
		[176]	334.71051	float
		[177]	334.42273	float
		[178]	334.13510	float
		[179]	323.68210	float
		[180]	313.39520	float
		[181]	324.05988	float
		[182]	334.90298	float
		[183]	338.69009	float
		[184]	342.49847	float
		[185]	350.37967	float
		[186]	358.35049	float
		[187]	365.16263	float
		[188]	372.03891	float
		[189]	390.95367	float
		[190]	410.33740	float
		[191]	437.30621	float
		[192]	465.13330	float
		[193]	488.62238	float
		[194]	512.69000	float
		[195]	537.79950	float
		[196]	563.50928	float
		[197]	582.05042	float
		[198]	600.89166	float
		[199]	614.23090	float
		[200]	627.71649	float
		[201]	639.46863	float
		[202]	651.32983	float
		[203]	659.94562	float
		[204]	668.61804	float
		
